24 1 1 25. 7.0 8.0
#22 1 1 22. 2.0 10.0
20 1 1 22. 2.0 12.0
22 1 2 22. 7.0 8.0
#20 1 1 23. 8.0 11.0
20 1 1 24. 8.0 9.0
24 1 1 26. 4.5 9.0
23 0 1 24. 5.0 9.0
24 3 1 23. 4.5 8.0
#23 1 1 23. 7.0 12.0
20 1 1 22. 8.0 10.0
#21 1 1 23. 3.0 16.0
25 1 1 26. 4.0 9.0
25 1 1 26. 5.0 9.0
20 1 1 24. 3.0 12.0
#24 1 1 21. 10.0 12.0
24 1 1 23. 6.0 7.0
#23 1 1 24. 10.0 13.0
#24 1 1 23. 10.0 9.0
22 1 2 28. 6.5 9.0
27 1 1 23. 8.0 7.0
24 1 1 23. 7.0 8.0
20 1 1 26. 8.0 7.0
#22 1 1 23. 11.0 9.0
24 1 1 28. 6.0 10.0
24 1 1 24. 7.0 9.0
24 1 1 25. 5.0 9.0
23 1 1 24. 7.0 8.0
#30 1 1 22. 6.0 5.0
24 1 1 24. 8.0 8.0
#22 1 1 25. 2.0 7.0
#22 1 2 25.5 14.0 8.0
21 1 2 28. 3.0 14.0
22 1 2 25.5 3.5 9.0
22 1 2 24. 8.0 9.0
#20 1 2 27. 11.0 11.0
#20 1 2 23. 5.0 9.0
#20 1 2 26. 7.0 11.0
#22 1 1 24. 9.0 8,5
20 1 2 27. 5.0 8.0
20 1 2 26. 7.0 5.0
20 1 1 24. 9.0 5.5
22 1 2 26. 5.0 8.0
#21 1 2 24. 8.0 7.0
23 1 2 24. 7.0 8.5
22 1 2 28. 7.0 7.0
#20 1 2 26. 8.0 11.0
22 1 2 25. 6.0 11.0
21 1 2 28. 6.5 6.0
21 1 2 29. 8.0 9.0
#21 1 2 26. 8.0 9.0
20 1 2 28. 5.0 9.0
20 1 2 28. 7.0 8.0
23 1 2 30. 5.5 10.
#21 1 2 27. 6. 15.
22 1 2 28. 8. 8.
22 1 2 26. 5. 7.
#22 1 2 24. 7. 8.
26 1 2 23. 7. 5.
#22 4 2 24. 8. 12.
#18 1 2 25. 3. 7.
24 1 2 26. 7. 6.5
23 5 2 26. 7. 8.
24 1 2 24. 7. 8.
22 1 2 25. 5. 9.
22 1 2 24. 8. 7.
23 1 2 27. 5. 8.5
#18 1 2 29. 5.5 8.
#19 1 1 30. 7. 5.5
21 1 2 24. 4. 12.
23 1 1 29. 8. 6.5
22 1 1 26. 9. 8.
#start hahaha
21 1 1 24. 6. 7.
20 1 1 23. 5. 9.5
24 1 1 25. 7. 6.
20 1 1 26. 6. 8.
23 1 2 22. 5. 7.
20 1 1 26. 4. 9.
23 1 1 26. 5. 7.5
23 1 1 22. 8. 6.5
22 1 1 26. 6. 7.
22 1 1 26. 6. 7.
22 1 1 26. 7. 7.5
22 1 2 28. 8. 5.5
23 1 1 26. 6. 8.
22 1 1 26. 6. 7.
22 1 1 26. 7. 7.
21 1 1 25. 8. 6.
21 1 1 26. 5. 10.
24 1 1 24. 8. 6.5
24 1 1 24. 10. 5.
22 1 1 22. 13. 3.
21 1 1 28. 11. 4.
20 1 1 26. 4. 13.
23 1 2 25. 5. 13.
24 1 1 24. 7. 6.
20 1 1 26. 5. 12.
24 1 2 25. 9. 6.
24 1 1 24. 10. 5.
23 1 2 28  11. 5.
